epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1491.89,1.74157,1.02727,1.45669,0.95556,0.9685,0.95801,0.39526,1.98656,0.85362,1.73187,0.0011882,0.0011882,0.0011882
43,1522.41,1.72528,0.96823,1.4532,0.95133,0.9685,0.96806,0.37855,1.9919,0.92421,1.73461,0.0011684,0.0011684,0.0011684
44,1552.65,1.80495,1.03,1.48816,0.9457,0.96001,0.96154,0.41422,1.90024,0.8759,1.66353,0.0011486,0.0011486,0.0011486
45,1583.02,1.7327,0.95748,1.4418,0.90914,0.97638,0.95854,0.41449,1.9466,0.8589,1.75828,0.0011288,0.0011288,0.0011288
46,1613.36,1.70051,0.91571,1.44342,0.94729,0.96063,0.96621,0.39228,1.95312,0.86144,1.74397,0.001109,0.001109,0.001109
47,1643.71,1.81172,1.01568,1.53895,0.9175,0.92913,0.94648,0.38229,1.95727,0.93579,1.72206,0.0010892,0.0010892,0.0010892
48,1674.06,1.7715,0.98639,1.5349,0.93057,0.94985,0.93996,0.37613,1.95062,0.87615,1.73665,0.0010694,0.0010694,0.0010694
49,1704.93,1.70533,0.94893,1.47522,0.9389,0.96796,0.94916,0.38661,1.94502,0.83174,1.72476,0.0010496,0.0010496,0.0010496
50,1736.09,1.76909,0.9312,1.45258,0.91775,0.9685,0.94988,0.38253,1.97417,0.87927,1.7327,0.0010298,0.0010298,0.0010298
51,1767.82,1.69974,0.98045,1.44758,0.91604,0.93701,0.9273,0.3872,1.93268,0.914,1.69729,0.00101,0.00101,0.00101
52,1800.15,1.71051,0.99148,1.46732,0.92121,0.93701,0.95166,0.39004,1.96593,0.89218,1.71361,0.0009902,0.0009902,0.0009902
53,1832.82,1.72305,0.90756,1.45813,0.91904,0.94488,0.93742,0.39084,1.95945,0.87046,1.70972,0.0009704,0.0009704,0.0009704
54,1866.31,1.7402,0.92666,1.47363,0.93324,0.95276,0.96631,0.37659,1.90228,0.88911,1.67016,0.0009506,0.0009506,0.0009506
55,1901.34,1.73113,0.96193,1.49105,0.93631,0.92126,0.93025,0.38132,1.98389,0.85563,1.76292,0.0009308,0.0009308,0.0009308
56,1938.1,1.70165,0.95036,1.47403,0.95706,0.95276,0.95815,0.39391,1.9752,0.8824,1.73704,0.000911,0.000911,0.000911
57,1972.05,1.67719,0.93143,1.42656,0.9028,0.95071,0.93236,0.37937,2.02575,0.89064,1.78327,0.0008912,0.0008912,0.0008912
58,2006.03,1.65888,0.91988,1.44604,0.94849,0.97638,0.96684,0.39402,1.94089,0.79669,1.73776,0.0008714,0.0008714,0.0008714
59,2039.91,1.68443,0.89298,1.44678,0.94355,0.96063,0.94955,0.39575,1.94853,0.77579,1.7566,0.0008516,0.0008516,0.0008516
